LITm,LITs,MICr,MICk,SOMp,SOMc,SOMa,MIMSOC,MIMLIT,MIMMIC,MIC_ratio
0.11530574639720538,0.6259225318694578,0.011401763936306115,0.02454390894319208,1.2199773510266614,0.3661865367599163,0.16857181729213389,2.531909656224873,0.7412282782666632,0.035945672879498194,0.4645455604767758
0.07604251767434295,0.44446797431036983,0.01192648470764704,0.02357812903572478,1.4182631317166234,0.26143535286931163,0.1429223904181076,2.378635980732127,0.5205104919847128,0.03550461374337182,0.5058282906831342
0.08721211784485357,0.5050292727702645,0.013597749190386076,0.027003112014968366,1.6033348578402769,0.2969437584977556,0.20985979277681963,2.7429806609353244,0.5922413906151182,0.040600861205354444,0.5035622998878266
0.08830316640726521,0.4836940164062597,0.010744407526709769,0.023067664577710097,1.1477145055417681,0.28462303844520315,0.21645786214517557,2.2546046610500916,0.5719971828135249,0.03381207210441987,0.4657778636634032
0.09342835809820876,0.5664181901871644,0.015609672320710711,0.029008188758779925,1.9682238863077748,0.33225192476543836,0.3313837127550593,3.3363239331931362,0.6598465482853733,0.04461786107949064,0.5381126153898913
0.05846288351366634,0.361604724603465,0.014060552842732995,0.02602078066850008,1.7889147218155823,0.21259828571874945,0.12379904568674116,2.585460994849437,0.42006760811713134,0.040081333511233073,0.5403586088312196
0.08260014946946566,0.4871875360154705,0.0174168480474114,0.03386771741724564,2.1129153895637764,0.28653954862766373,0.237336730985625,3.257863920126658,0.5697876854849362,0.05128456546465704,0.5142610537591954
0.0903633586023018,0.5495870396033427,0.017491067004892526,0.032403534598805135,2.214811272823999,0.3225756935393784,0.38227721159879574,3.6095091777715154,0.6399503982056445,0.04989460160369766,0.5397888601182879
0.1393847400896811,0.7602756920480767,0.021178606042040034,0.04480847654251407,2.310031413441992,0.4470904535020466,0.6412637391531267,4.364033120819477,0.8996604321377577,0.0659870825845541,0.47264731310259733
0.2108222886877546,1.2500257496303577,0.019579082003356292,0.03616002108401949,2.4213526924177255,0.7126707476890203,1.3993426247629301,6.049953206275164,1.4608480383181124,0.055739103087375785,0.5414565980994144
0.06378084783813304,0.3573956190466893,0.022609813505057585,0.047861400488518294,2.497209556419913,0.2107932782297236,0.09873415797139498,3.2983846734994295,0.42117646688482235,0.07047121399357588,0.47240183685142195
0.1515246051379746,0.8549150820084617,0.035933491994202815,0.0721696537394234,4.207055682110065,0.5019263947069355,0.2892102610430688,6.112735170740132,1.0064396871464363,0.10810314573362621,0.4979030677346008
0.2552765632586251,1.4135587334861046,0.04314152212575859,0.08675950786986233,5.019940230573115,0.826259290904221,0.6012103707913242,8.246146219009011,1.6688352967447297,0.12990102999562092,0.4972541129494428
0.19049448824923168,1.0645927503144883,0.04970319412781687,0.10006006417058101,5.8221859840012975,0.6239798145954598,0.5560409038287628,8.407057199287637,1.25508723856372,0.14976325829839787,0.4967335823719196
0.06183341032328921,0.34171306056758355,0.013660292686147131,0.029548145558894227,1.4559262791995118,0.20172208204564668,0.17875598562515102,2.2831592560062237,0.40354647089087275,0.04320843824504136,0.4623062607743001
0.0755927665592853,0.443127258011663,0.015089928064761131,0.029736168582972684,1.8097091914388848,0.26080617615894786,0.14222974270936348,2.776291231525878,0.5187200245709483,0.044826096647733814,0.5074604020573726
