LITm,LITs,MICr,MICk,SOMp,SOMc,SOMa
0.11530574639720538,0.6259225318694578,0.011401763936306115,0.02454390894319208,1.2199773510266614,0.3661865367599163,0.16857181729213389
0.07604251767434295,0.44446797431036983,0.01192648470764704,0.02357812903572478,1.4182631317166234,0.26143535286931163,0.1429223904181076
0.08721211784485357,0.5050292727702645,0.013597749190386076,0.027003112014968366,1.6033348578402769,0.2969437584977556,0.20985979277681963
0.08830316640726521,0.4836940164062597,0.010744407526709769,0.023067664577710097,1.1477145055417681,0.28462303844520315,0.21645786214517557
0.09342835809820876,0.5664181901871644,0.015609672320710711,0.029008188758779925,1.9682238863077748,0.33225192476543836,0.3313837127550593
0.05846288351366634,0.361604724603465,0.014060552842732995,0.02602078066850008,1.7889147218155823,0.21259828571874945,0.12379904568674116
0.08260014946946566,0.4871875360154705,0.0174168480474114,0.03386771741724564,2.1129153895637764,0.28653954862766373,0.237336730985625
0.0903633586023018,0.5495870396033427,0.017491067004892526,0.032403534598805135,2.214811272823999,0.3225756935393784,0.38227721159879574
0.1393847400896811,0.7602756920480767,0.021178606042040034,0.04480847654251407,2.310031413441992,0.4470904535020466,0.6412637391531267
0.2108222886877546,1.2500257496303577,0.019579082003356292,0.03616002108401949,2.4213526924177255,0.7126707476890203,1.3993426247629301
0.06378084783813304,0.3573956190466893,0.022609813505057585,0.047861400488518294,2.497209556419913,0.2107932782297236,0.09873415797139498
0.1515246051379746,0.8549150820084617,0.035933491994202815,0.0721696537394234,4.207055682110065,0.5019263947069355,0.2892102610430688
0.2552765632586251,1.4135587334861046,0.04314152212575859,0.08675950786986233,5.019940230573115,0.826259290904221,0.6012103707913242
0.19049448824923168,1.0645927503144883,0.04970319412781687,0.10006006417058101,5.8221859840012975,0.6239798145954598,0.5560409038287628
0.06183341032328921,0.34171306056758355,0.013660292686147131,0.029548145558894227,1.4559262791995118,0.20172208204564668,0.17875598562515102
0.0755927665592853,0.443127258011663,0.015089928064761131,0.029736168582972684,1.8097091914388848,0.26080617615894786,0.14222974270936348
0.09904951628235878,0.5468024533173568,0.020761743925290933,0.0439391135140104,2.2826686752043575,0.3222109477533838,0.20085122661213003
0.07565143978136794,0.44008537920553087,0.0194839315394541,0.0387942270882306,2.305903286265945,0.25905974807423393,0.19346524718432714
0.07334365915831763,0.4352235611526237,0.021134922697060052,0.040999542310397756,2.5757857323952007,0.25601139484634333,0.252861913565813
0.08823659218748447,0.5192552378578098,0.021593736436833964,0.041975645270826006,2.6185381890517356,0.30527043075269683,0.40968768488725954
0.073386595612872,0.40932035424794866,0.025012872479026383,0.05294178905630309,2.761603946808507,0.24135385065407675,0.11364424005126277
0.0843287111393898,0.4679991066370071,0.024719619689950293,0.052351845972825974,2.728458590666155,0.27588610286977533,0.13906905252850163
0.0648731927049049,0.36332274327035635,0.02334455306939052,0.049421705110407534,2.5785179772798923,0.21428535575270324,0.11394849016704536
0.15214361092223674,0.8280893388905857,0.02981911687077232,0.06306104565410947,3.2753441395531917,0.4869988999801017,0.2847008506106722
0.23655295759652162,1.2676075068101575,0.03075123438181754,0.0650940294462296,3.365456695419074,0.7421338953888631,0.4701331913601987
0.11258266780395706,0.6400344432160223,0.04093101344946559,0.08249158786137795,4.799401402220756,0.37628106728939764,0.20049459685083276
0.16574094635876593,0.9304035592542298,0.0386005291049104,0.07774366371522444,4.506254413093907,0.5459619086876971,0.36397276493342245
0.16667211449480407,0.9324303363691459,0.024537226380895942,0.04946900770002889,2.853395941947539,0.5466034559217766,0.4500036484826033
0.12090949098479194,0.6834697798559668,0.038342010350328096,0.07774005881408408,4.456541466058911,0.40180599566778935,0.3995357449901738
0.07519618680080246,0.4348138352180404,0.0313891299270274,0.06305481591816767,3.6844630250425694,0.255927479881943,0.3083572465915801
0.20119336962787893,1.1357692752582547,0.028587629106126326,0.056702780095220395,3.3809695948195224,0.6645266582872016,0.37176510168732657
0.18240417733329553,0.9865243329239306,0.030496348082011356,0.06448551623654018,3.343368627838513,0.5794437550860293,0.36279146464988793
0.19868707524507848,1.071980063926238,0.03427953460994556,0.07245163398192983,3.757251431158635,0.6292494587064277,0.4210650864371044
0.0745066041494912,0.45712186954969186,0.015029901261470496,0.02778544157997921,1.9106941099496764,0.2685125968184536,0.23045740508058252
0.09634319967248013,0.5857553043815248,0.018156222881347404,0.03356142873234396,2.300028235596035,0.3436742836576177,0.44411136157466297
0.10057136619431392,0.5785216545941345,0.013819345131485548,0.02756671274080949,1.6043631438396377,0.33944481442645996,0.868597703464677
0.06909566552137855,0.42429719711901004,0.016627656017336043,0.030816414304816863,2.0914262953895557,0.2491265704557112,0.8790383557535036
0.08646575130956619,0.49682844323834086,0.043350547642855015,0.0873392352620674,5.0518073618580335,0.2922011709203165,1.3842966061041857
